# ell, Primary TT,Primary TE,Primary EE,Cross TT, Cross TE, Cross ET, Cross EE
40 1.2260605914e+03 1.7378709727e+00 5.7625352918e-02 6.8796538017e-02 6.3285472020e-03 3.5949885272e-03 9.2369206653e-04
41 1.2447379794e+03 1.6718756782e+00 6.2589730202e-02 6.1396924414e-02 3.6831101973e-03 3.8225329880e-03 1.0017401317e-03
42 1.2634052421e+03 1.5965976494e+00 6.7842991838e-02 5.3729620220e-02 8.2990160238e-04 4.0583216638e-03 1.0837550529e-03
43 1.2822095893e+03 1.5097509744e+00 7.3384041466e-02 4.5772295241e-02 -2.2372919147e-03 4.3016013936e-03 1.1696882225e-03
44 1.3010010974e+03 1.4099411838e+00 7.9196925400e-02 3.7502619463e-02 -5.5246830141e-03 4.5516190068e-03 1.2594910257e-03
45 1.3201498281e+03 1.2958481325e+00 8.5276089021e-02 2.8898263015e-02 -9.0384837120e-03 4.8076213245e-03 1.3531148407e-03
46 1.3395816658e+03 1.1647629149e+00 9.1620196874e-02 1.9939612497e-02 -1.2783030307e-02 5.0689005861e-03 1.4505257209e-03
47 1.3591543027e+03 1.0183011668e+00 9.8231420977e-02 1.0617920072e-02 -1.6755158093e-02 5.3349307265e-03 1.5517484387e-03
48 1.3788012380e+03 8.6181532494e-01 1.0511986671e-01 9.2715429922e-04 -2.0949826722e-02 5.6052311022e-03 1.6568224427e-03
49 1.3986045380e+03 7.0006359761e-01 1.1227335384e-01 -9.1387162879e-03 -2.5361995349e-02 5.8793210668e-03 1.7657871771e-03
50 1.4187948360e+03 5.3102214855e-01 1.1967227323e-01 -1.9585723210e-02 -2.9986622677e-02 6.1567199729e-03 1.8786820822e-03
51 1.4391542815e+03 3.5091433435e-01 1.2729219349e-01 -3.0419018237e-02 -3.4819188807e-02 6.4370515565e-03 1.9955220478e-03
52 1.4598995948e+03 1.5458285621e-01 1.3521567781e-01 -4.1640233903e-02 -3.9857260701e-02 6.7203570866e-03 2.1162237714e-03
53 1.4806504447e+03 -6.1624319078e-02 1.4358732233e-01 -5.3250123035e-02 -4.5098926815e-02 7.0067822183e-03 2.2406794013e-03
54 1.5013236339e+03 -2.9339154042e-01 1.5239572740e-01 -6.5249438607e-02 -5.0542275357e-02 7.2964726103e-03 2.3687810851e-03
